Hydrogen,H,24.469524383544922,3.257205009460449
Helium,He,16.10909652709961,-2.8915042877197266
Lithium,Li,8.279827117919922,9.633746147155762
Beryllium,Be,7.341171741485596,8.051518440246582
Boron,B,5.779227256774902,4.311962604522705
Carbon,C,7.245834827423096,2.799081325531006
Nitrogen,N,10.410050392150879,-4.11066198348999
Oxygen,O,10.212657928466797,-4.485731601715088
Fluorine,F,10.568299293518066,-4.832025051116943
Neon,Ne,11.199051856994629,-5.141625881195068
Sodium,Na,5.8622002601623535,9.266114234924316
Magnesium,Mg,5.595574378967285,7.944945335388184
Aluminum,Al,4.162196636199951,5.018542289733887
Silicon,Si,4.451575756072998,3.9338979721069336
Phosphorus,P,5.984748840332031,1.83549165725708
Sulfur,S,5.827980995178223,1.2820656299591064
Chlorine,Cl,8.383199691772461,-5.072974681854248
Argon,Ar,8.573643684387207,-5.307190418243408
Potassium,K,4.65846586227417,9.612929344177246
Calcium,Ca,4.248360633850098,8.254647254943848
Scandium,Sc,3.9403178691864014,7.7606353759765625
Titanium,Ti,3.8148250579833984,7.367831707000732
Vanadium,V,3.568652629852295,6.91557502746582
Chromium,Cr,3.4582901000976562,6.605517864227295
Manganese,Mn,3.2922377586364746,6.002077102661133
Iron,Fe,3.1168370246887207,5.596664905548096
Cobalt,Co,2.841981887817383,5.192643642425537
Nickel,Ni,2.71456241607666,4.868502140045166
Copper,Cu,2.3930673599243164,4.560975074768066
Zinc,Zn,2.2258543968200684,4.2122483253479
Gallium,Ga,1.8093516826629639,4.136898994445801
Germanium,Ge,2.097738265991211,3.1704463958740234
Arsenic,As,2.1727893352508545,2.6957573890686035
Selenium,Se,3.1946868896484375,0.4371045231819153
Bromine,Br,3.6004385948181152,-0.9014648795127869
Krypton,Kr,5.953789710998535,-6.384266376495361
Rubidium,Rb,2.3436758518218994,9.26515007019043
Strontium,Sr,2.041167736053467,8.269852638244629
Yttrium,Y,1.8092999458312988,7.580494403839111
Zirconium,Zr,1.6658446788787842,7.05817985534668
Niobium,Nb,1.4217405319213867,6.629455089569092
Molybdenum,Mo,1.2640600204467773,6.353493690490723
Technetium,Tc,0.9627723097801208,-5.3980841636657715
Ruthenium,Ru,0.9284566044807434,5.731298923492432
Rhodium,Rh,0.6565954089164734,5.198025703430176
Palladium,Pd,0.5420127511024475,4.861158847808838
Silver,Ag,0.29162710905075073,4.158613681793213
Cadmium,Cd,0.10026794672012329,4.115841865539551
Indium,In,-0.1471075415611267,3.7944555282592773
Tin,Sn,-0.4584360718727112,3.1220340728759766
Antimony,Sb,0.08920079469680786,2.450042963027954
Tellurium,Te,-0.00040155649185180664,1.963252067565918
Iodine,I,1.0520591735839844,0.04166877269744873
Xenon,Xe,3.7213263511657715,-6.453146457672119
Cesium,Cs,0.7256911396980286,9.487333297729492
Barium,Ba,0.17944711446762085,8.348176002502441
Hafnium,Hf,-1.1158177852630615,7.20199728012085
Tantalum,Ta,-1.4432287216186523,6.7314133644104
Wolfram,W,-1.6311993598937988,6.279364109039307
Rhenium,Re,-1.7211413383483887,5.946521759033203
Osmium,Os,-1.8015825748443604,5.616986274719238
Iridium,Ir,-1.818464756011963,5.1328654289245605
Platinum,Pt,-1.7787740230560303,4.449846267700195
Gold,Au,-1.6879525184631348,4.244488716125488
Mercury,Hg,-2.8173186779022217,3.013352394104004
Thallium,Tl,-1.4937963485717773,4.144222259521484
Lead,Pb,-1.744260311126709,3.386638879776001
Bismuth,Bi,-1.907602310180664,3.021388530731201
Polonium,Po,-3.05814528465271,0.5139610767364502
Radon,Rn,-4.276036739349365,-7.2404561042785645
